id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'राजनीतिक दल' (Political Party) क्या है?|लोगों का एक समूह जो केवल चुनाव लड़ता है|लोगों का एक समूह जो चुनाव लड़कर सत्ता हासिल करने और सरकार बनाने के उद्देश्य से संगठित होता है|केवल सरकार के अधिकारी|केवल एक ही जाति के लोगों का समूह|लोगों का एक समूह जो चुनाव लड़कर सत्ता हासिल करने और सरकार बनाने के उद्देश्य से संगठित होता है|PoliticalScience_C6|30
2|राजनीतिक दल के कितने मुख्य भाग होते हैं?|दो|तीन|चार|पाँच|तीन|PoliticalScience_C6|30
3|राजनीतिक दल के तीन मुख्य भाग कौन-से हैं?|नेता, सक्रिय सदस्य और अनुयायी (समर्थक)|केवल नेता, पुलिस और सेना|केवल अमीर लोग, गरीब लोग और नौकरशाह|न्यायपालिका, विधायिका और कार्यपालिका|नेता, सक्रिय सदस्य और अनुयायी (समर्थक)|PoliticalScience_C6|30
4|राजनीतिक दल का मुख्य कार्य क्या है?|केवल सामाजिक कार्य करना|केवल आंदोलन करना|चुनाव लड़ना और सरकार बनाना|केवल विरोध प्रदर्शन करना|चुनाव लड़ना और सरकार बनाना|PoliticalScience_C6|30
5|'दलों की आवश्यकता' (Necessity of Parties) क्यों होती है?|क्योंकि वे लोगों को जोड़ते हैं|क्योंकि वे लोकतंत्र को कमजोर करते हैं|क्योंकि वे लोगों का प्रतिनिधित्व करते हैं और सरकार को जवाबदेह बनाते हैं|क्योंकि वे केवल चुनाव जीतते हैं|क्योंकि वे लोगों का प्रतिनिधित्व करते हैं और सरकार को जवाबदेह बनाते हैं|PoliticalScience_C6|30
6|किस देश में 'एकल दल प्रणाली' (One-Party System) प्रचलित है?|भारत|संयुक्त राज्य अमेरिका|चीन|फ्रांस|चीन|PoliticalScience_C6|30
7|एकल दल प्रणाली का मुख्य दोष क्या है?|यह लोकतंत्र को मजबूत करता है|यह लोगों को कोई राजनीतिक विकल्प (Option) नहीं देता|यह आर्थिक विकास को बढ़ावा देता है|यह संघर्ष को कम करता है|यह लोगों को कोई राजनीतिक विकल्प (Option) नहीं देता|PoliticalScience_C6|30
8|किस देश में 'दो-दलीय प्रणाली' (Two-Party System) प्रचलित है?|भारत|चीन|संयुक्त राज्य अमेरिका (USA)|जर्मनी|संयुक्त राज्य अमेरिका (USA)|PoliticalScience_C6|30
9|'बहुदलीय प्रणाली' (Multi-Party System) का मुख्य लाभ क्या है?|यह केवल संघर्ष पैदा करता है|यह विभिन्न हितों और विचारों को प्रतिनिधित्व देता है|यह लोगों को कोई विकल्प नहीं देता|यह एकात्मक शासन को बढ़ावा देता है|यह विभिन्न हितों और विचारों को प्रतिनिधित्व देता है|PoliticalScience_C6|30
10|भारत में किस प्रकार की दल प्रणाली है?|एकल दल|दो-दलीय|बहुदलीय|सैन्य दल|बहुदलीय|PoliticalScience_C6|30
11|भारत में कौन-सा दल 'राष्ट्रीय दल' (National Party) कहलाता है?|जो चुनाव आयोग द्वारा मान्यता प्राप्त हो और कई राज्यों में चुनाव लड़ता हो|जो केवल एक राज्य में चुनाव लड़ता हो|जो केवल एक ही जाति का प्रतिनिधित्व करता हो|जो चुनाव नहीं लड़ता हो|जो चुनाव आयोग द्वारा मान्यता प्राप्त हो और कई राज्यों में चुनाव लड़ता हो|PoliticalScience_C6|30
