id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|हिंदी व्याकरण में लिंग के कितने भेद होते हैं?|दो|तीन|चार|पाँच|दो|Hindi_Grammar_L_V_K|30
2|हिंदी में 'स्त्रीलिंग' और 'पुल्लिंग' के अतिरिक्त कौन-सा लिंग होता है?|उभयलिंग|नपुंसक लिंग|कोई नहीं|समान लिंग|कोई नहीं|Hindi_Grammar_L_V_K|30
3|निम्न में से कौन-सा शब्द हमेशा 'पुल्लिंग' होता है?|नदी|पहाड़|स्त्रीलिंग|तिथि|पहाड़|Hindi_Grammar_L_V_K|30
4|'पुस्तक' शब्द का लिंग क्या है?|पुल्लिंग|स्त्रीलिंग|उभयलिंग|कोई नहीं|स्त्रीलिंग|Hindi_Grammar_L_V_K|30
5|'दही' शब्द का लिंग क्या है?|पुल्लिंग|स्त्रीलिंग|उभयलिंग|नपुंसक लिंग|पुल्लिंग|Hindi_Grammar_L_V_K|30
6|'कवि' शब्द का स्त्रीलिंग रूप क्या है?|कवियत्री|कवित्री|कवयित्री|कविनि|कवयित्री|Hindi_Grammar_L_V_K|30
7|'बालक' का स्त्रीलिंग रूप क्या है?|बालकी|बालिका|बालिनी|बालिया|बालिका|Hindi_Grammar_L_V_K|30
8|'विद्वान्' शब्द का स्त्रीलिंग रूप क्या है?|विद्वानी|विदुषी|विदुषीनी|विद्या|विदुषी|Hindi_Grammar_L_V_K|30
9|'हाथी' शब्द का स्त्रीलिंग रूप क्या है?|हाथिन|हथनी|हथिनी|हाथिनि|हथिनी|Hindi_Grammar_L_V_K|30
10|'जेठ' शब्द का स्त्रीलिंग क्या है?|जेठानी|जेठी|जेठा|जेठिनि|जेठानी|Hindi_Grammar_L_V_K|30
11|'नेता' शब्द का स्त्रीलिंग क्या है?|नेतृत्व|नेत्री|नेतानी|नेताइन|नेत्री|Hindi_Grammar_L_V_K|30
12|'आत्मा' शब्द का लिंग क्या है?|पुल्लिंग|स्त्रीलिंग|उभयलिंग|कोई नहीं|स्त्रीलिंग|Hindi_Grammar_L_V_K|30
13|निम्न में से कौन-सा शब्द हमेशा 'स्त्रीलिंग' होता है?|दिन|सप्ताह|तिथि|मास|तिथि|Hindi_Grammar_L_V_K|30
14|'साधु' शब्द का स्त्रीलिंग क्या है?|साधुनी|साध्वी|साधुआइन|साधूत्री|साध्वी|Hindi_Grammar_L_V_K|30
15|'पानी' शब्द का लिंग क्या है?|पुल्लिंग|स्त्रीलिंग|उभयलिंग|कोई नहीं|पुल्लिंग|Hindi_Grammar_L_V_K|30
16|'पड़ोसी' का स्त्रीलिंग क्या है?|पड़ोसनी|पड़ोसन|पड़ोसिन|पड़ोसिनि|पड़ोसिन|Hindi_Grammar_L_V_K|30
17|'दूध' शब्द कौन-सा लिंग है?|पुल्लिंग|स्त्रीलिंग|उभयलिंग|इनमें से कोई नहीं|पुल्लिंग|Hindi_Grammar_L_V_K|30
18|'सरकार' शब्द का लिंग क्या है?|पुल्लिंग|स्त्रीलिंग|उभयलिंग|नपुंसक लिंग|स्त्रीलिंग|Hindi_Grammar_L_V_K|30
19|'आग' शब्द का लिंग क्या है?|पुल्लिंग|स्त्रीलिंग|उभयलिंग|नपुंसक लिंग|स्त्रीलिंग|Hindi_Grammar_L_V_K|30
20|'कठोरता' शब्द का लिंग क्या है?|पुल्लिंग|स्त्रीलिंग|उभयलिंग|कोई नहीं|स्त्रीलिंग|Hindi_Grammar_L_V_K|30
21|हिंदी में 'वचन' के कितने भेद होते हैं?|दो|तीन|चार|पाँच|दो|Hindi_Grammar_L_V_K|30
22|'एकवचन' और 'बहुवचन' के अतिरिक्त हिंदी में कौन-सा वचन होता है?|द्विवचन|त्रिवचन|कोई नहीं|अनेकवचन|कोई नहीं|Hindi_Grammar_L_V_K|30
23|'घोड़ा' का बहुवचन रूप क्या है?|घोड़ी|घोड़ियाँ|घोड़े|घोड़ों|घोड़े|Hindi_Grammar_L_V_K|30
24|'नदी' का बहुवचन रूप क्या है?|नदीयाँ|नदियाँ|नदीय|नदीयों|नदियाँ|Hindi_Grammar_L_V_K|30
25|निम्न में से कौन-सा शब्द हमेशा 'बहुवचन' में प्रयुक्त होता है?|बच्चा|समाचार|पुस्तक|मेज|समाचार|Hindi_Grammar_L_V_K|30
26|'माता' का बहुवचन क्या है?|माताओं|माताएँ|माती|मात|माताएँ|Hindi_Grammar_L_V_K|30
27|'पुस्तकें' शब्द में कौन-सा वचन है?|एकवचन|बहुवचन|द्विवचन|कोई नहीं|बहुवचन|Hindi_Grammar_L_V_K|30
28|'जनता' शब्द हमेशा किस वचन में प्रयुक्त होता है?|एकवचन|बहुवचन|द्विवचन|दोनों में|एकवचन|Hindi_Grammar_L_V_K|30
29|'चिड़िया' का बहुवचन रूप क्या है?|चिड़ियों|चिड़ियाँ|चिड़ियें|चिड़िये|चिड़ियाँ|Hindi_Grammar_L_V_K|30
30|'गौ' (गाय) का बहुवचन रूप क्या है?|गौवें|गायें|गौओं|गाँव|गायें|Hindi_Grammar_L_V_K|30
31|'शिक्षक' का बहुवचन क्या है?|शिक्षकों|शिक्षण|शिक्षकगण|शिक्षिकायें|शिक्षकगण|Hindi_Grammar_L_V_K|30
32|'वस्तु' का बहुवचन रूप क्या है?|वस्त|वस्तुओं|वस्तुएँ|वस्तें|वस्तुएँ|Hindi_Grammar_L_V_K|30
33|निम्न में से कौन-सा शब्द हमेशा 'एकवचन' में प्रयुक्त होता है?|प्राण|दर्शन|आंसू|वर्षा|वर्षा|Hindi_Grammar_L_V_K|30
34|'वधू' का बहुवचन रूप क्या है?|वधुएँ|वधुओं|वधुएँ|वधूरें|वधुएँ|Hindi_Grammar_L_V_K|30
35|'लाठी' का बहुवचन क्या है?|लाठियों|लाठी|लाठियाँ|लाठीयाँ|लाठियाँ|Hindi_Grammar_L_V_K|30
36|'पानी' शब्द का वचन क्या है?|एकवचन|बहुवचन|दोनों|कोई नहीं|एकवचन|Hindi_Grammar_L_V_K|30
37|'आँसू' शब्द का वचन क्या है?|एकवचन|बहुवचन|दोनों|कोई नहीं|बहुवचन|Hindi_Grammar_L_V_K|30
38|'लेखक' का बहुवचन रूप क्या है?|लेखिक|लेखको|लेखकवृंद|लेखिकाएँ|लेखकवृंद|Hindi_Grammar_L_V_K|30
39|'स्त्री' का बहुवचन रूप क्या है?|स्त्रियाँ|स्त्रियों|स्त्री|स्त्रीएँ|स्त्रियाँ|Hindi_Grammar_L_V_K|30
40|'बहू' का बहुवचन क्या है?|बहुएँ|बहुओं|बहूर|बहुँ|बहुएँ|Hindi_Grammar_L_V_K|30
41|'कारक' के कितने भेद होते हैं?|छह|सात|आठ|नौ|आठ|Hindi_Grammar_L_V_K|30
42|'राम ने रावण को मारा' - इस वाक्य में 'ने' किस कारक का चिन्ह है?|कर्म कारक|करण कारक|कर्ता कारक|संप्रदान कारक|कर्ता कारक|Hindi_Grammar_L_V_K|30
43|'मां ने बच्चे को दूध पिलाया' - 'बच्चे को' में कौन-सा कारक है?|कर्म कारक|करण कारक|संप्रदान कारक|अपादान कारक|कर्म कारक|Hindi_Grammar_L_V_K|30
44|'से' विभक्ति चिन्ह किस कारक का है?|संप्रदान|करण और अपादान|संबंध और अधिकरण|कर्ता और कर्म|करण और अपादान|Hindi_Grammar_L_V_K|30
45|'के लिए' किस कारक का चिन्ह है?|कर्म कारक|करण कारक|संप्रदान कारक|अपादान कारक|संप्रदान कारक|Hindi_Grammar_L_V_K|30
46|'मेज पर पुस्तक रखी है' - 'पर' किस कारक का चिन्ह है?|संबंध कारक|अपादान कारक|अधिकरण कारक|संप्रदान कारक|अधिकरण कारक|Hindi_Grammar_L_V_K|30
47|'पेड़ से पत्ता गिरा' - इस वाक्य में 'से' किस कारक का चिन्ह है?|करण कारक|अपादान कारक|संबंध कारक|कर्म कारक|अपादान कारक|Hindi_Grammar_L_V_K|30
48|'हे राम! तुम कहाँ हो?' - इस वाक्य में कौन-सा कारक है?|संबंध कारक|अधिकरण कारक|सम्बोधन कारक|कर्ता कारक|सम्बोधन कारक|Hindi_Grammar_L_V_K|30
49|'यह राम का घर है' - इस वाक्य में 'का' किस कारक का चिन्ह है?|कर्म कारक|करण कारक|संबंध कारक|अधिकरण कारक|संबंध कारक|Hindi_Grammar_L_V_K|30
50|जिस साधन से क्रिया पूरी होती है, उसे कौन-सा कारक कहते हैं?|कर्ता कारक|कर्म कारक|करण कारक|संप्रदान कारक|करण कारक|Hindi_Grammar_L_V_K|30
51|'अरे!' किस कारक का चिन्ह है?|कर्ता|कर्म|संप्रदान|सम्बोधन|सम्बोधन|Hindi_Grammar_L_V_K|30
52|'वह कलम से लिखता है' - 'कलम से' में कौन-सा कारक है?|करण कारक|अपादान कारक|संप्रदान कारक|संबंध कारक|करण कारक|Hindi_Grammar_L_V_K|30
53|'राजा ने निर्धनों को दान दिया' - 'निर्धनों को' में कौन-सा कारक है?|कर्म कारक|संप्रदान कारक|अपादान कारक|संबंध कारक|संप्रदान कारक|Hindi_Grammar_L_V_K|30
54|क्रिया के आधार या स्थान को सूचित करने वाला कारक कौन-सा है?|कर्म|संप्रदान|अपादान|अधिकरण|अधिकरण|Hindi_Grammar_L_V_K|30
55|'उसने बाघ को मारा' - इस वाक्य में 'बाघ को' में कौन-सा कारक है?|कर्ता|कर्म|करण|संप्रदान|कर्म|Hindi_Grammar_L_V_K|30
56|'बच्चा माँ से डरता है' - इस वाक्य में 'माँ से' में कौन-सा कारक है?|करण कारक|अपादान कारक|कर्म कारक|संबंध कारक|अपादान कारक|Hindi_Grammar_L_V_K|30
57|'राम ने सीता के लिए वनवास स्वीकार किया' - 'सीता के लिए' में कौन-सा कारक है?|संप्रदान|करण|संबंध|अधिकरण|संप्रदान|Hindi_Grammar_L_V_K|30
58|'मेहनत करके धन कमाया जाता है' - 'मेहनत करके' में कौन-सा कारक है?|कर्ता|कर्म|करण|संप्रदान|करण|Hindi_Grammar_L_V_K|30
59|जिससे अलगाव (अलग होने) का भाव हो, वहाँ कौन-सा कारक होता है?|करण|कर्म|अपादान|संबंध|अपादान|Hindi_Grammar_L_V_K|30
60|'दीवार के ऊपर घड़ी लगी है' - 'ऊपर' में कौन-सा कारक है?|संबंध|करण|अधिकरण|अपादान|अधिकरण|Hindi_Grammar_L_V_K|30
61|'देवता' शब्द का स्त्रीलिंग क्या है?|देवी|देवतानी|देवती|देवताइन|देवी|Hindi_Grammar_L_V_K|30
62|'वर' शब्द का स्त्रीलिंग रूप क्या है?|वरणी|वरिनी|वधू|वरिया|वधू|Hindi_Grammar_L_V_K|30
63|'सभा' शब्द का लिंग क्या है?|पुल्लिंग|स्त्रीलिंग|उभयलिंग|कोई नहीं|स्त्रीलिंग|Hindi_Grammar_L_V_K|30
64|'शराब' शब्द का लिंग क्या है?|पुल्लिंग|स्त्रीलिंग|उभयलिंग|नपुंसक लिंग|स्त्रीलिंग|Hindi_Grammar_L_V_K|30
65|'बाजार' शब्द का लिंग क्या है?|पुल्लिंग|स्त्रीलिंग|उभयलिंग|नपुंसक लिंग|पुल्लिंग|Hindi_Grammar_L_V_K|30
66|'शिष्य' का स्त्रीलिंग क्या है?|शिष्या|शिष्यी|शिष्यानी|शिष्यिनी|शिष्या|Hindi_Grammar_L_V_K|30
67|'लोटा' का बहुवचन रूप क्या है?|लोटियाँ|लोटें|लोटाएँ|लोटा|लोटें|Hindi_Grammar_L_V_K|30
68|'बहुएँ' शब्द का एकवचन क्या है?|बहू|बहुई|बहुता|बहिनी|बहू|Hindi_Grammar_L_V_K|30
69|'रोटी' का बहुवचन रूप क्या है?|रोटियाँ|रोटियों|रोटिये|रोटीएँ|रोटियाँ|Hindi_Grammar_L_V_K|30
70|'सड़क' का बहुवचन रूप क्या है?|सड़कें|सड़कियों|सड़कानें|सड़क|सड़कें|Hindi_Grammar_L_V_K|30
71|'प्रेम' शब्द का वचन क्या है?|एकवचन|बहुवचन|द्विवचन|दोनों|एकवचन|Hindi_Grammar_L_V_K|30
72|'समाचार' शब्द का वचन क्या है?|एकवचन|बहुवचन|दोनों|कोई नहीं|बहुवचन|Hindi_Grammar_L_V_K|30
73|'गुरु' का बहुवचन रूप क्या है?|गुरुओं|गुरुवर|गुरुजन|गुरु|गुरुजन|Hindi_Grammar_L_V_K|30
74|'माला' का बहुवचन क्या है?|मालों|मालाओं|माले|मालाएँ|मालाएँ|Hindi_Grammar_L_V_K|30
75|'कलम' का बहुवचन क्या है?|कलमों|कलम|कलमियाँ|कलमें|कलमें|Hindi_Grammar_L_V_K|30
76|'नेताओं' शब्द में कौन-सा वचन है?|एकवचन|बहुवचन|द्विवचन|कोई नहीं|बहुवचन|Hindi_Grammar_L_V_K|30
77|'मेरा' किस कारक का चिन्ह है?|कर्म|करण|संबंध|अधिकरण|संबंध|Hindi_Grammar_L_V_K|30
78|'उसने चाकू से फल काटा' - 'चाकू से' में कौन-सा कारक है?|अपादान|करण|कर्म|संप्रदान|करण|Hindi_Grammar_L_V_K|30
79|'छत पर मोर नाच रहा है' - 'छत पर' में कौन-सा कारक है?|करण|अधिकरण|संबंध|संप्रदान|अधिकरण|Hindi_Grammar_L_V_K|30
80|'गरीबों के लिए कुछ करो' - 'गरीबों के लिए' में कौन-सा कारक है?|कर्म|करण|संप्रदान|अपादान|संप्रदान|Hindi_Grammar_L_V_K|30
81|'वह पढ़ने में तेज है' - 'पढ़ने में' में कौन-सा कारक है?|कर्ता|कर्म|अधिकरण|करण|अधिकरण|Hindi_Grammar_L_V_K|30
82|'छत से ईंट गिरी' - 'से' किस कारक का चिन्ह है?|करण|अपादान|संबंध|अधिकरण|अपादान|Hindi_Grammar_L_V_K|30
