id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|दो वर्णों के मेल से होने वाले विकार (परिवर्तन) को क्या कहते हैं?|समास|संधि|उपसर्ग|प्रत्यय|संधि|Hindi_Grammar_S_S|30
2|संधि के मुख्य रूप से कितने भेद होते हैं?|दो|तीन|चार|पाँच|तीन|Hindi_Grammar_S_S|30
3|'स्वर संधि' के कितने उपभेद होते हैं?|तीन|चार|पाँच|छह|पाँच|Hindi_Grammar_S_S|30
4|'देव + इंद्र' की संधि क्या होगी?|देवेन्द्र|देवेद्र|देवांद्र|देवेंद्र|देवेंद्र|Hindi_Grammar_S_S|30
5|'हिमालय' शब्द का सही संधि विच्छेद क्या है?|हिम + आलय|हिम + लय|हिमा + आलय|हि + मालय|हिम + आलय|Hindi_Grammar_S_S|30
6|'भानु + उदय' की संधि क्या होगी?|भानूदय|भानुदिय|भानोदय|भानू + उदय|भानूदय|Hindi_Grammar_S_S|30
7|'सदा + एव' की संधि क्या होगी?|सदैव|सदाव|सदयव|सदायेव|सदैव|Hindi_Grammar_S_S|30
8|'अति + अधिक' की संधि क्या होगी?|अत्याधिक|अतीअधिक|अत्यधिक|अतिअधक|अत्यधिक|Hindi_Grammar_S_S|30
9|'पो + अन' की संधि क्या होगी?|पावन|पवन|पोवन|पाअन|पवन|Hindi_Grammar_S_S|30
10|'जगत् + नाथ' की संधि क्या होगी?|जगन्नाथ|जगनाथ|जगतनाथ|जगतानाथ|जगन्नाथ|Hindi_Grammar_S_S|30
11|'मनः + रथ' की संधि क्या होगी?|मनरथ|मनोरथ|मनीरथ|मनुरथ|मनोरथ|Hindi_Grammar_S_S|30
12|'निर्जन' शब्द का सही संधि विच्छेद क्या है?|निः + जन|निर + जन|निर् + जन|नि + रजन|निः + जन|Hindi_Grammar_S_S|30
13|'परम + अणु' में कौन-सी संधि है?|दीर्घ संधि|गुण संधि|यण संधि|वृद्धि संधि|दीर्घ संधि|Hindi_Grammar_S_S|30
14|'स्वागत' शब्द में कौन-सी संधि है?|दीर्घ संधि|गुण संधि|यण संधि|वृद्धि संधि|यण संधि|Hindi_Grammar_S_S|30
15|'प्रत्येक' शब्द का सही संधि विच्छेद क्या है?|प्रति + एक|प्रत + येक|प्रति + यक|प्रती + एक|प्रति + एक|Hindi_Grammar_S_S|30
16|'पवन' शब्द में कौन-सी संधि है?|यण संधि|अयादि संधि|दीर्घ संधि|व्यंजन संधि|अयादि संधि|Hindi_Grammar_S_S|30
17|'दुष्कर' शब्द का संधि विच्छेद क्या है?|दुः + कर|दुष + कर|दुस + कर|दोष + कर|दुः + कर|Hindi_Grammar_S_S|30
18|'सच्चिदानंद' का सही संधि विच्छेद क्या है?|सत् + चित + आनंद|सच + चित्त + आनंद|सच्चि + दानंद|सत् + चिदानंद|सत् + चित + आनंद|Hindi_Grammar_S_S|30
19|'तपोवन' में कौन-सी संधि है?|स्वर संधि|व्यंजन संधि|विसर्ग संधि|इनमें से कोई नहीं|विसर्ग संधि|Hindi_Grammar_S_S|30
20|'विद्यालय' शब्द में कौन-सी संधि है?|दीर्घ संधि|गुण संधि|वृद्धि संधि|यण संधि|दीर्घ संधि|Hindi_Grammar_S_S|30
21|'अत्याचार' का सही संधि विच्छेद क्या है?|अति + आचार|अत्या + चार|अति + चार|अत + आचार|अति + आचार|Hindi_Grammar_S_S|30
22|'गिरिश' में कौन-सी संधि है?|दीर्घ संधि|गुण संधि|व्यंजन संधि|विसर्ग संधि|दीर्घ संधि|Hindi_Grammar_S_S|30
23|'महेंद्र' शब्द का सही संधि विच्छेद क्या है?|महा + इंद्र|मह + इंद्र|महे + इंद्र|मह + एंद्र|महा + इंद्र|Hindi_Grammar_S_S|30
24|'पित्रादेश' में कौन-सी संधि है?|गुण संधि|दीर्घ संधि|यण संधि|वृद्धि संधि|यण संधि|Hindi_Grammar_S_S|30
25|'वागीश' का सही संधि विच्छेद क्या है?|वाक् + ईश|वाग + ईश|वागी + श|वाक + इश|वाक् + ईश|Hindi_Grammar_S_S|30
26|दो या दो से अधिक शब्दों के मेल से नए शब्द बनाने की प्रक्रिया को क्या कहते हैं?|संधि|समास|अव्यय|उपसर्ग|समास|Hindi_Grammar_S_S|30
27|समास के मुख्य रूप से कितने भेद होते हैं?|चार|पाँच|छह|सात|छह|Hindi_Grammar_S_S|30
28|जिस समास में प्रथम पद (पूर्वपद) प्रधान होता है, उसे क्या कहते हैं?|तत्पुरुष समास|द्वंद्व समास|अव्ययीभाव समास|कर्मधारय समास|अव्ययीभाव समास|Hindi_Grammar_S_S|30
29|'यथाशक्ति' में कौन-सा समास है?|तत्पुरुष समास|द्वंद्व समास|अव्ययीभाव समास|बहुव्रीहि समास|अव्ययीभाव समास|Hindi_Grammar_S_S|30
30|जिस समास में दोनों पद (पूर्वपद और उत्तरपद) प्रधान होते हैं, उसे क्या कहते हैं?|तत्पुरुष समास|द्वंद्व समास|द्विगु समास|कर्मधारय समास|द्वंद्व समास|Hindi_Grammar_S_S|30
31|'माता-पिता' में कौन-सा समास है?|तत्पुरुष समास|द्वंद्व समास|द्विगु समास|अव्ययीभाव समास|द्वंद्व समास|Hindi_Grammar_S_S|30
32|जिस समास में उत्तरपद (दूसरा पद) प्रधान होता है, और कारक चिन्हों का लोप हो जाता है, उसे क्या कहते हैं?|द्वंद्व समास|द्विगु समास|तत्पुरुष समास|कर्मधारय समास|तत्पुरुष समास|Hindi_Grammar_S_S|30
33|'राजपुत्र' में कौन-सा समास है?|द्वंद्व समास|द्विगु समास|तत्पुरुष समास|कर्मधारय समास|तत्पुरुष समास|Hindi_Grammar_S_S|30
34|जिस समास में पहला पद संख्यावाचक विशेषण हो, उसे क्या कहते हैं?|द्वंद्व समास|द्विगु समास|कर्मधारय समास|बहुव्रीहि समास|द्विगु समास|Hindi_Grammar_S_S|30
35|'त्रिलोक' में कौन-सा समास है?|द्वंद्व समास|द्विगु समास|तत्पुरुष समास|कर्मधारय समास|द्विगु समास|Hindi_Grammar_S_S|30
36|जिस समास में विशेषण-विशेष्य या उपमान-उपमेय का संबंध होता है, उसे क्या कहते हैं?|द्विगु समास|कर्मधारय समास|बहुव्रीहि समास|तत्पुरुष समास|कर्मधारय समास|Hindi_Grammar_S_S|30
37|'नीलकमल' में कौन-सा समास है?|द्विगु समास|कर्मधारय समास|बहुव्रीहि समास|तत्पुरुष समास|कर्मधारय समास|Hindi_Grammar_S_S|30
38|जिस समास में कोई भी पद प्रधान न होकर कोई अन्य पद प्रधान होता है, उसे क्या कहते हैं?|तत्पुरुष समास|द्विगु समास|कर्मधारय समास|बहुव्रीहि समास|बहुव्रीहि समास|Hindi_Grammar_S_S|30
39|'दशानन' (दस हैं आनन जिसके अर्थात् रावण) में कौन-सा समास है?|द्विगु समास|कर्मधारय समास|बहुव्रीहि समास|तत्पुरुष समास|बहुव्रीहि समास|Hindi_Grammar_S_S|30
40|'आजन्म' में कौन-सा समास है?|तत्पुरुष|कर्मधारय|द्वंद्व|अव्ययीभाव|अव्ययीभाव|Hindi_Grammar_S_S|30
41|'भाई-बहन' में कौन-सा समास है?|तत्पुरुष|द्वंद्व|द्विगु|अव्ययीभाव|द्वंद्व|Hindi_Grammar_S_S|30
42|'चौराहा' में कौन-सा समास है?|तत्पुरुष|द्वंद्व|द्विगु|कर्मधारय|द्विगु|Hindi_Grammar_S_S|30
43|'पीताम्बर' (पीत है अम्बर जिसका अर्थात् कृष्ण/विष्णु) में कौन-सा समास है?|कर्मधारय|तत्पुरुष|बहुव्रीहि|द्वंद्व|बहुव्रीहि|Hindi_Grammar_S_S|30
