id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'अंगूठा दिखाना' मुहावरे का सही अर्थ क्या है?|देने से साफ मना कर देना|अंगूठे से इशारा करना|ख़ुशी मनाना|नाच-गाना करना|देने से साफ मना कर देना|Hindi_Grammar_M_L|30
2|'आँखों का तारा' मुहावरे का अर्थ क्या है?|बहुत प्यारा|आँखों में दर्द|आँखों का इलाज|तारा देखना|बहुत प्यारा|Hindi_Grammar_M_L|30
3|'ईंट से ईंट बजाना' मुहावरे का अर्थ क्या है?|युद्ध करना|पक्का निर्माण करना|तबाही मचाना|मकान बनाना|तबाही मचाना|Hindi_Grammar_M_L|30
4|'उल्टी गंगा बहाना' मुहावरे का अर्थ क्या है?|गंगा में तैरना|अनहोनी बात कहना|परंपरा के विपरीत कार्य करना|नदी में उलटी नाव चलाना|परंपरा के विपरीत कार्य करना|Hindi_Grammar_M_L|30
5|'ओखली में सिर देना' मुहावरे का अर्थ क्या है?|ओखली में मसाला कूटना|किसी काम में व्यस्त रहना|जानबूझकर मुसीबत मोल लेना|सिर में चोट लगना|जानबूझकर मुसीबत मोल लेना|Hindi_Grammar_M_L|30
6|'कलेजा ठंडा होना' मुहावरे का अर्थ क्या है?|हृदय को ठंडक मिलना|संतोष होना|मर जाना|कलेजे में दर्द होना|संतोष होना|Hindi_Grammar_M_L|30
7|'कान भरना' मुहावरे का अर्थ क्या है?|कान में तेल डालना|बहकाना/चुगली करना|सुनना|बात न सुनना|बहकाना/चुगली करना|Hindi_Grammar_M_L|30
8|'घी के दिए जलाना' मुहावरे का अर्थ क्या है?|रोशनी करना|ख़ुशी मनाना|दीपावली मनाना|पूजा करना|ख़ुशी मनाना|Hindi_Grammar_M_L|30
9|'चाँद पर थूकना' मुहावरे का अर्थ क्या है?|चमकीला होना|असंभव कार्य करना|सम्माननीय व्यक्ति का अनादर करना|बहुत ऊँचा होना|सम्माननीय व्यक्ति का अनादर करना|Hindi_Grammar_M_L|30
10|'चार चाँद लगाना' मुहावरे का अर्थ क्या है?|चार चाँद देखना|बहुत ऊँचा होना|शोभा बढ़ाना|कम होना|शोभा बढ़ाना|Hindi_Grammar_M_L|30
11|'छक्के छुड़ाना' मुहावरे का अर्थ क्या है?|जोरदार छक्का मारना|क्रिकेट खेलना|हिम्मत पस्त करना/हरा देना|भाग जाना|हिम्मत पस्त करना/हरा देना|Hindi_Grammar_M_L|30
12|'जले पर नमक छिड़कना' मुहावरे का अर्थ क्या है?|घाव पर नमक लगाना|दुखी को और दुखी करना|जले हुए पर दवा लगाना|नमक फैला देना|दुखी को और दुखी करना|Hindi_Grammar_M_L|30
13|'टका सा जवाब देना' मुहावरे का अर्थ क्या है?|स्पष्ट मना कर देना|टकसाल में काम करना|उत्तर देना|टालमटोल करना|स्पष्ट मना कर देना|Hindi_Grammar_M_L|30
14|'दाँतों तले उँगली दबाना' मुहावरे का अर्थ क्या है?|बहुत आश्चर्यचकित होना|दाँतों में उँगली फँसाना|दाँत तोड़ना|दुखी होना|बहुत आश्चर्यचकित होना|Hindi_Grammar_M_L|30
15|'नाक काटना' मुहावरे का अर्थ क्या है?|सर्जरी करना|इज्जत नष्ट करना|घमंड करना|नाक बहना|इज्जत नष्ट करना|Hindi_Grammar_M_L|30
16|'नौ दो ग्यारह होना' मुहावरे का अर्थ क्या है?|भाग जाना|जोड़ना|हिसाब करना|गायब हो जाना|भाग जाना|Hindi_Grammar_M_L|30
17|'पीठ दिखाना' मुहावरे का अर्थ क्या है?|हिम्मत दिखाना|हारकर भाग जाना|पीछे मुड़कर देखना|सो जाना|हारकर भाग जाना|Hindi_Grammar_M_L|30
18|'बाल-बाल बचना' मुहावरे का अर्थ क्या है?|मुश्किल से बचना|बालों को बचाना|जानबूझकर खतरा मोल लेना|बाल काटना|मुश्किल से बचना|Hindi_Grammar_M_L|30
19|'भैंस के आगे बीन बजाना' लोकोक्ति का अर्थ क्या है?|मूर्ख के सामने ज्ञान की बातें करना|भैंस को संगीत सुनाना|बीन बजाकर भैंस को भगाना|भैंस को खुश करना|मूर्ख के सामने ज्ञान की बातें करना|Hindi_Grammar_M_L|30
20|'मुँह फुलाना' मुहावरे का अर्थ क्या है?|गुस्सा होना|मुँह में हवा भरना|सूज जाना|खुश होना|गुस्सा होना|Hindi_Grammar_M_L|30
21|'लोहे के चने चबाना' मुहावरे का अर्थ क्या है?|कठिन कार्य करना|चने खाना|लोहे के चने खाना|मुश्किल से सोना|कठिन कार्य करना|Hindi_Grammar_M_L|30
22|'श्री गणेश करना' मुहावरे का अर्थ क्या है?|आरंभ करना|पूजा करना|शुभ काम करना|भगवान का नाम लेना|आरंभ करना|Hindi_Grammar_M_L|30
23|'हवा से बातें करना' मुहावरे का अर्थ क्या है?|तेज भागना|व्यर्थ की बातें करना|हवा में उड़ना|घमंड करना|तेज भागना|Hindi_Grammar_M_L|30
24|'हाथ मलना' मुहावरे का अर्थ क्या है?|अफ़सोस करना|हाथ साफ करना|हाथ धोना|तैयारी करना|अफ़सोस करना|Hindi_Grammar_M_L|30
25|'हाथ धोकर पीछे पड़ना' मुहावरे का अर्थ क्या है?|बुरी तरह पीछे पड़ना|हाथ साफ करना|पीछे हटना|नहाकर पीछे पड़ना|बुरी तरह पीछे पड़ना|Hindi_Grammar_M_L|30
26|'अंधा क्या चाहे दो आँखें' लोकोक्ति का अर्थ क्या है?|आँखों का इलाज करना|जिस चीज की जरूरत हो, वह मिल जाना|अंधे को रोशनी दिखाना|अंधा होना|जिस चीज की जरूरत हो, वह मिल जाना|Hindi_Grammar_M_L|30
27|'अंधों में काना राजा' लोकोक्ति का अर्थ क्या है?|आँखों का डॉक्टर|जहाँ कोई गुण न हो, वहाँ साधारण गुण वाला भी श्रेष्ठ|अंधा राजा|अंधे लोगों का समूह|जहाँ कोई गुण न हो, वहाँ साधारण गुण वाला भी श्रेष्ठ|Hindi_Grammar_M_L|30
28|'आम के आम गुठलियों के दाम' लोकोक्ति का अर्थ क्या है?|आम और गुठली बेचना|दोहरा लाभ होना|केवल आम खाना|नुकसान होना|दोहरा लाभ होना|Hindi_Grammar_M_L|30
29|'आगे कुआँ, पीछे खाई' लोकोक्ति का अर्थ क्या है?|दोनों तरफ मुश्किल होना|आगे-पीछे चलना|कुआँ और खाई देखना|कहीं न जाना|दोनों तरफ मुश्किल होना|Hindi_Grammar_M_L|30
30|'अपनी डफली अपना राग' लोकोक्ति का अर्थ क्या है?|मनमाना काम करना|गाना-बजाना|सबकी राय मानना|संगीत सीखना|मनमाना काम करना|Hindi_Grammar_M_L|30
31|'एक पंथ दो काज' लोकोक्ति का अर्थ क्या है?|एक रास्ता चुनना|एक काम से दो लाभ होना|दो काम एक साथ करना|कई रास्ते|एक काम से दो लाभ होना|Hindi_Grammar_M_L|30
32|'एक अनार सौ बीमार' लोकोक्ति का अर्थ क्या है?|एक फल और सौ लोग|वस्तु कम, चाहने वाले अधिक|बीमार को फल देना|फल का दाम कम होना|वस्तु कम, चाहने वाले अधिक|Hindi_Grammar_M_L|30
