id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|व्याकरण के अनुसार, 'संज्ञा' के कितने भेद होते हैं?|तीन|चार|पाँच|छह|पाँच|Hindi_Grammar_C_S_V|30
2|किसी व्यक्ति, वस्तु, स्थान या भाव के नाम को क्या कहते हैं?|क्रिया|विशेषण|संज्ञा|सर्वनाम|संज्ञा|Hindi_Grammar_C_S_V|30
3|'भारत' कौन सी संज्ञा है?|व्यक्तिवाचक|जातिवाचक|भाववाचक|समूहवाचक|व्यक्तिवाचक|Hindi_Grammar_C_S_V|30
4|'पुस्तक' कौन सी संज्ञा है?|व्यक्तिवाचक|जातिवाचक|भाववाचक|द्रव्यवाचक|जातिवाचक|Hindi_Grammar_C_S_V|30
5|निम्न में से भाववाचक संज्ञा का उदाहरण क्या है?|गंगा|मिठास|पानी|सेना|मिठास|Hindi_Grammar_C_S_V|30
6|'गाय' कौन सी संज्ञा है?|व्यक्तिवाचक|जातिवाचक|समूहवाचक|द्रव्यवाचक|जातिवाचक|Hindi_Grammar_C_S_V|30
7|'बुढ़ापा' शब्द किस संज्ञा का उदाहरण है?|जातिवाचक|व्यक्तिवाचक|भाववाचक|समूहवाचक|भाववाचक|Hindi_Grammar_C_S_V|30
8|'प्रेमचंद' कौन सी संज्ञा है?|जातिवाचक|व्यक्तिवाचक|भाववाचक|समूहवाचक|व्यक्तिवाचक|Hindi_Grammar_C_S_V|30
9|'भीड़' कौन सी संज्ञा है?|जातिवाचक|व्यक्तिवाचक|समूहवाचक|भाववाचक|समूहवाचक|Hindi_Grammar_C_S_V|30
10|'सोना' (Gold) कौन सी संज्ञा है?|जातिवाचक|व्यक्तिवाचक|द्रव्यवाचक|समूहवाचक|द्रव्यवाचक|Hindi_Grammar_C_S_V|30
11|'पहाड़' शब्द कौन सी संज्ञा है?|व्यक्तिवाचक|जातिवाचक|भाववाचक|द्रव्यवाचक|जातिवाचक|Hindi_Grammar_C_S_V|30
12|'हिमालय' शब्द कौन सी संज्ञा है?|व्यक्तिवाचक|जातिवाचक|समूहवाचक|द्रव्यवाचक|व्यक्तिवाचक|Hindi_Grammar_C_S_V|30
13|'क्रोध' शब्द है:|जातिवाचक संज्ञा|भाववाचक संज्ञा|क्रिया|विशेषण|भाववाचक संज्ञा|Hindi_Grammar_C_S_V|30
14|जिस संज्ञा शब्द से किसी पदार्थ के नाप-तौल का बोध होता है, उसे क्या कहते हैं?|जातिवाचक|व्यक्तिवाचक|द्रव्यवाचक|समूहवाचक|द्रव्यवाचक|Hindi_Grammar_C_S_V|30
15|'कक्षा' शब्द उदाहरण है:|भाववाचक संज्ञा का|जातिवाचक संज्ञा का|समूहवाचक संज्ञा का|द्रव्यवाचक संज्ञा का|समूहवाचक संज्ञा का|Hindi_Grammar_C_S_V|30
16|'लड़का' शब्द से भाववाचक संज्ञा क्या बनेगी?|लड़कपन|लड़कापन|लड़ाई|लड़की|लड़कपन|Hindi_Grammar_C_S_V|30
17|'सुंदर' शब्द की भाववाचक संज्ञा क्या है?|सुंदरता|सुंदरन|सुंदरी|सुंदरत्व|सुंदरता|Hindi_Grammar_C_S_V|30
18|निम्न में से समूहवाचक संज्ञा कौन है?|पानी|तेल|चावल|झुंड|झुंड|Hindi_Grammar_C_S_V|30
19|'गंगा' कौन सी संज्ञा है?|जातिवाचक|व्यक्तिवाचक|भाववाचक|समूहवाचक|व्यक्तिवाचक|Hindi_Grammar_C_S_V|30
20|भाववाचक संज्ञा बनाने के लिए 'मीठा' शब्द में कौन सा प्रत्यय जुड़ेगा?|आस|आई|पन|त्व|आस|Hindi_Grammar_C_S_V|30
21|'वह' एक अच्छा खिलाड़ी है। इस वाक्य में संज्ञा शब्द है:|वह|अच्छा|खिलाड़ी|एक|खिलाड़ी|Hindi_Grammar_C_S_V|30
22|'घी' शब्द है:|व्यक्तिवाचक|जातिवाचक|भाववाचक|द्रव्यवाचक|द्रव्यवाचक|Hindi_Grammar_C_S_V|30
23|'दासता' कौन सी संज्ञा है?|जातिवाचक|व्यक्तिवाचक|भाववाचक|समूहवाचक|भाववाचक|Hindi_Grammar_C_S_V|30
24|'चाबी' कौन सी संज्ञा है?|जातिवाचक|व्यक्तिवाचक|समूहवाचक|भाववाचक|जातिवाचक|Hindi_Grammar_C_S_V|30
25|'पानी' किस प्रकार की संज्ञा है?|समूहवाचक|द्रव्यवाचक|जातिवाचक|भाववाचक|द्रव्यवाचक|Hindi_Grammar_C_S_V|30
26|'शत्रुता' कौन सी संज्ञा है?|जातिवाचक|व्यक्तिवाचक|भाववाचक|समूहवाचक|भाववाचक|Hindi_Grammar_C_S_V|30
27|'शिक्षक' कौन सी संज्ञा है?|व्यक्तिवाचक|जातिवाचक|भाववाचक|द्रव्यवाचक|जातिवाचक|Hindi_Grammar_C_S_V|30
28|'राष्ट्र' की भाववाचक संज्ञा क्या है?|राष्ट्रीयता|राष्ट्रवाद|राष्ट्रीय|राष्ट्रत्व|राष्ट्रीयता|Hindi_Grammar_C_S_V|30
29|'समूह' शब्द है:|जातिवाचक|व्यक्तिवाचक|समूहवाचक|भाववाचक|समूहवाचक|Hindi_Grammar_C_S_V|30
30|निम्न में से कौन द्रव्यवाचक संज्ञा नहीं है?|चाँदी|पेट्रोल|दूध|कमरा|कमरा|Hindi_Grammar_C_S_V|30
31|'बहन' की भाववाचक संज्ञा क्या है?|बहना|बहनत्व|बहनोई|बहनचारा|बहनत्व|Hindi_Grammar_C_S_V|30
32|'संज्ञा' को बदलकर उसका प्रयोग किया जा सकता है:|क्रिया के रूप में|सर्वनाम के रूप में|विशेषण के रूप में|अव्यय के रूप में|सर्वनाम के रूप में|Hindi_Grammar_C_S_V|30
33|'वकील' कौन सी संज्ञा है?|व्यक्तिवाचक|जातिवाचक|भाववाचक|समूहवाचक|जातिवाचक|Hindi_Grammar_C_S_V|30
34|'सोमवार' कौन सी संज्ञा है?|जातिवाचक|व्यक्तिवाचक|भाववाचक|समूहवाचक|व्यक्तिवाचक|Hindi_Grammar_C_S_V|30
35|'जवानी' शब्द है:|व्यक्तिवाचक|जातिवाचक|भाववाचक|द्रव्यवाचक|भाववाचक|Hindi_Grammar_C_S_V|30
36|संज्ञा के स्थान पर प्रयुक्त होने वाले शब्द को क्या कहते हैं?|क्रिया|क्रिया-विशेषण|सर्वनाम|विशेषण|सर्वनाम|Hindi_Grammar_C_S_V|30
37|सर्वनाम के मुख्य रूप से कितने भेद होते हैं?|चार|पाँच|छह|सात|छह|Hindi_Grammar_C_S_V|30
38|'मैं, तुम, वह' किस प्रकार के सर्वनाम हैं?|निजवाचक|पुरुषवाचक|प्रश्नवाचक|संबंधवाचक|पुरुषवाचक|Hindi_Grammar_C_S_V|30
39|'कोई' किस प्रकार का सर्वनाम है?|प्रश्नवाचक|संबंधवाचक|अनिश्चयवाचक|निजवाचक|अनिश्चयवाचक|Hindi_Grammar_C_S_V|30
40|'जो-सो' किस प्रकार के सर्वनाम हैं?|प्रश्नवाचक|संबंधवाचक|निश्चयवाचक|अनिश्चयवाचक|संबंधवाचक|Hindi_Grammar_C_S_V|30
41|'आप' शब्द कौन सा सर्वनाम है?|निश्चयवाचक|संबंधवाचक|निजवाचक (स्वयं के लिए)|प्रश्नवाचक|निजवाचक (स्वयं के लिए)|Hindi_Grammar_C_S_V|30
42|उत्तम पुरुष सर्वनाम का उदाहरण क्या है?|तुम|मैं|वह|यह|मैं|Hindi_Grammar_C_S_V|30
43|मध्यम पुरुष सर्वनाम का उदाहरण क्या है?|हम|तू|वे|आप (आदरसूचक)|तू|Hindi_Grammar_C_S_V|30
44|अन्य पुरुष सर्वनाम का उदाहरण क्या है?|मैं|हम|तुम|वे|वे|Hindi_Grammar_C_S_V|30
45|'वह कल पटना जाएगा' - इस वाक्य में 'वह' कौन सा पुरुषवाचक सर्वनाम है?|उत्तम पुरुष|मध्यम पुरुष|अन्य पुरुष|कोई नहीं|अन्य पुरुष|Hindi_Grammar_C_S_V|30
46|'यह मेरी किताब है' - इस वाक्य में 'यह' कौन सा सर्वनाम है?|अनिश्चयवाचक|निश्चयवाचक|संबंधवाचक|प्रश्नवाचक|निश्चयवाचक|Hindi_Grammar_C_S_V|30
47|'दरवाजे पर कोई खड़ा है' - इस वाक्य में 'कोई' कौन सा सर्वनाम है?|निश्चयवाचक|अनिश्चयवाचक|निजवाचक|संबंधवाचक|अनिश्चयवाचक|Hindi_Grammar_C_S_V|30
