id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'खुशबू रचते हैं हाथ' कविता के कवि कौन हैं?|अरुण कमल|सूर्यकांत त्रिपाठी 'निराला'|बिहारी|कबीर दास|अरुण कमल|Non-Hindi_C16|30
2|यह कविता मुख्य रूप से किन लोगों के जीवन पर केंद्रित है?|अमीरों और व्यापारियों|किसानों और मजदूरों|अगरबत्ती बनाने वाले कारीगरों|नेताओं और अभिनेताओं|अगरबत्ती बनाने वाले कारीगरों|Non-Hindi_C16|30
3|'खुशबू रचते हैं हाथ' का क्या अर्थ है?|हाथों में इत्र लगाना|हाथों से सुंदर चित्र बनाना|जो हाथ दुनिया को खुशबू देते हैं, वे स्वयं अभाव में जीते हैं|हाथों को साफ रखना|जो हाथ दुनिया को खुशबू देते हैं, वे स्वयं अभाव में जीते हैं|Non-Hindi_C16|30
4|अगरबत्ती बनाने वाले लोग कैसी बस्तियों में रहते हैं?|साफ-सुथरी और सुंदर|महलों और बंगलों में|शहर के बीचों-बीच|गंदी और बदबूदार|गंदी और बदबूदार|Non-Hindi_C16|30
5|कविता में 'नालें' का क्या अर्थ है?|नदी|झरना|गंदे पानी का नाला|तालाब|गंदे पानी का नाला|Non-Hindi_C16|30
6|कारीगरों के हाथ कैसे होते हैं?|साफ और सुंदर|कोमल और नाजुक|घिसे हुए, नाखूनों वाले, उभरी नसों वाले|मजबूत और मोटे|घिसे हुए, नाखूनों वाले, उभरी नसों वाले|Non-Hindi_C16|30
7|कविता में किन फूलों के नाम आए हैं?|गुलाब, चंपा|केवड़ा, रातरानी, खस|गेंदा, चमेली|सूरजमुखी, कमल|केवड़ा, रातरानी, खस|Non-Hindi_C16|30
8|यह कविता किस सामाजिक विषमता को उजागर करती है?|जातिवाद|धार्मिक भेदभाव|अमीरी और गरीबी के बीच की खाई|लिंग भेद|अमीरी और गरीबी के बीच की खाई|Non-Hindi_C16|30
9|'उभरी नसों वाले हाथ' से क्या तात्पर्य है?|बुढ़ापे का संकेत|बीमारी का संकेत|कठोर परिश्रम करने का संकेत|आलस्य का संकेत|कठोर परिश्रम करने का संकेत|Non-Hindi_C16|30
10|'पीपल के नए पत्ते जैसे हाथ' किनके होते हैं?|बूढ़ों के|जवानों के|बच्चों के|महिलाओं के|बच्चों के|Non-Hindi_C16|30
11|अगरबत्ती बनाने वाले हाथ देश-दुनिया के लिए क्या बनाते हैं?|मिठाइयाँ|कपड़े|खुशबूदार अगरबत्तियाँ|मूर्तियाँ|खुशबूदार अगरबत्तियाँ|Non-Hindi_C16|30
12|'कूड़े-करकट के ढेरों के बीच' क्या रची जाती है?|खुशबू|गंदगी|बीमारी|शोर|खुशबू|Non-Hindi_C16|30
13|यह कविता किस प्रकार की कविता है?|प्रकृति-वर्णन|वीर रस|सामाजिक यथार्थवादी|हास्य|सामाजिक यथार्थवादी|Non-Hindi_C16|30
14|'मुल्क की मशहूर अगरबत्तियाँ' कहाँ बनती हैं?|बड़ी फैक्ट्रियों में|शहरों में|गंदी बस्तियों में|विदेशों में|गंदी बस्तियों में|Non-Hindi_C16|30
15|'गंदे कटे-पिटे हाथ' किसके प्रतीक हैं?|अस्वच्छता के|बीमारी के|शोषण और गरीबी में जीने वाले श्रमिक वर्ग के|अपराध के|शोषण और गरीबी में जीने वाले श्रमिक वर्ग के|Non-Hindi_C16|30
16|कवि इस कविता के माध्यम से क्या प्रश्न उठाना चाहता है?|अगरबत्तियाँ क्यों जलती हैं?|श्रमिकों की दयनीय दशा के लिए कौन जिम्मेदार है?|फूलों में खुशबू कहाँ से आती है?|लोग पूजा क्यों करते हैं?|श्रमिकों की दयनीय दशा के लिए कौन जिम्मेदार है?|Non-Hindi_C16|30
17|'जूही की डाल जैसे हाथ' किसके लिए प्रयुक्त हुआ है?|बच्चों के लिए|नवयुवतियों के लिए|बूढ़ी महिलाओं के लिए|पुरुषों के लिए|नवयुवतियों के लिए|Non-Hindi_C16|30
18|कविता में 'जख्म से फटे हाथ' का क्या आशय है?|लड़ाई में घायल हाथ|काम करते-करते घायल हुए हाथ|दुर्घटना में चोटिल हाथ|जन्म से खराब हाथ|काम करते-करते घायल हुए हाथ|Non-Hindi_C16|30
19|अगरबत्ती उद्योग में अक्सर कौन काम करते हैं?|केवल पुरुष|केवल महिलाएँ|बच्चे, महिलाएँ और गरीब लोग|केवल अमीर लोग|बच्चे, महिलाएँ और गरीब लोग|Non-Hindi_C16|30
20|'खुशबू रचते हैं हाथ' कविता का मुख्य संदेश क्या है?|हमें अगरबत्ती नहीं जलानी चाहिए|समाज के उपेक्षित श्रमजीवियों की दशा सुधारनी चाहिए|हमें फूलों की खेती करनी चाहिए|शहरों को साफ रखना चाहिए|समाज के उपेक्षित श्रमजीवियों की दशा सुधारनी चाहिए|Non-Hindi_C16|30
21|'टोले' शब्द का क्या अर्थ है?|एक बड़ा शहर|एक छोटा गाँव|एक प्रकार का बर्तन|छोटी बस्ती या मोहल्ला|छोटी बस्ती या मोहल्ला|Non-Hindi_C16|30
22|इन कारीगरों का जीवन कैसा होता है?|सुखमय और आरामदायक|कठिनाइयों और अभावों से भरा|साधारण और सामान्य|बहुत अमीर|कठिनाइयों और अभावों से भरा|Non-Hindi_C16|30
