id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'विक्रमशिला' पाठ साहित्य की कौन-सी विधा है?|कहानी|यात्रा-वृत्तांत|निबंध|रेखाचित्र|निबंध|Non-Hindi_C12|30
2|विक्रमशिला विश्वविद्यालय की स्थापना किसने की थी?|राजा धर्मपाल|राजा अशोक|राजा कुमारगुप्त|राजा हर्षवर्धन|राजा धर्मपाल|Non-Hindi_C12|30
3|विक्रमशिला किस राजवंश के काल में शिक्षा का एक प्रमुख केंद्र था?|मौर्य वंश|गुप्त वंश|पाल वंश|मुगल वंश|पाल वंश|Non-Hindi_C12|30
4|विक्रमशिला विश्वविद्यालय कहाँ स्थित था?|पटना के पास|नालंदा के पास|भागलपुर के पास|राजगीर के पास|भागलपुर के पास|Non-Hindi_C12|30
5|आधुनिक काल में विक्रमशिला की पहचान किस गाँव से की गई है?|अंतीचक|बसाढ़|कोल्हुआ|लौरिया|अंतीचक|Non-Hindi_C12|30
6|विक्रमशिला विश्वविद्यालय किस सदी में स्थापित हुआ था?|छठी सदी|सातवीं सदी|आठवीं सदी|नौवीं सदी|आठवीं सदी|Non-Hindi_C12|30
7|विक्रमशिला में किस विषय की शिक्षा विशेष रूप से दी जाती थी?|गणित|खगोल विज्ञान|आयुर्वेद|तंत्र-विद्या|तंत्र-विद्या|Non-Hindi_C12|30
8|विक्रमशिला विश्वविद्यालय का सर्वनाश किसने किया?|हूणों ने|अंग्रेजों ने|तुर्क आक्रमणकारियों ने|पुर्तगालियों ने|तुर्क आक्रमणकारियों ने|Non-Hindi_C12|30
9|आक्रमणकारियों ने विक्रमशिला को भ्रमवश क्या समझ लिया था?|राजमहल|किला|सराय|मंदिर|किला|Non-Hindi_C12|30
10|विक्रमशिला के सबसे प्रसिद्ध विद्वान कौन थे जो तिब्बत गए थे?|आर्यभट्ट|चाणक्य|अतिश दीपंकर|ह्वेनसांग|अतिश दीपंकर|Non-Hindi_C12|30
11|विक्रमशिला विश्वविद्यालय में कितने महाविद्यालय थे?|चार|पाँच|छह|सात|छह|Non-Hindi_C12|30
12|विश्वविद्यालय के प्रथम आचार्य कुलपति कौन थे?|शीलभद्र|धर्मपाल|हरिभद्र|ज्ञानपाद|हरिभद्र|Non-Hindi_C12|30
13|विक्रमशिला में अध्यापन का माध्यम कौन-सी भाषा थी?|पालि|प्राकृत|संस्कृत|अपभ्रंश|संस्कृत|Non-Hindi_C12|30
14|'समृद्ध पुस्तकालय' में किस तरह की पुस्तकें संग्रहीत थीं?|सिर्फ धर्म की|सिर्फ विज्ञान की|तंत्र-विद्या और दर्शन की|सिर्फ साहित्य की|तंत्र-विद्या और दर्शन की|Non-Hindi_C12|30
15|दान में मिली भूमि से होने वाली आय को किस पर खर्च किया जाता था?|राजा के भोग-विलास पर|छात्रों और शिक्षकों के रखरखाव पर|सेना पर|व्यापार पर|छात्रों और शिक्षकों के रखरखाव पर|Non-Hindi_C12|30
16|विक्रमशिला का पुस्तकालय कहाँ स्थित था?|पहाड़ की चोटी पर|नदी के किनारे|राजा के महल में|एक भव्य इमारत में|एक भव्य इमारत में|Non-Hindi_C12|30
17|'आचार्य' की उपाधि किसे दी जाती थी?|राजा को|मंत्री को|विश्वविद्यालय के विद्वान शिक्षकों को|छात्रों को|विश्वविद्यालय के विद्वान शिक्षकों को|Non-Hindi_C12|30
18|विक्रमशिला के प्रांगण में कितने विशाल द्वार थे?|एक|दो|चार|छह|छह|Non-Hindi_C12|30
19|प्रत्येक द्वार पर कौन नियुक्त होते थे?|सैनिक|मंत्री|द्वार-पंडित|सेवक|द्वार-पंडित|Non-Hindi_C12|30
20|विक्रमशिला विश्वविद्यालय किस धर्म के दर्शन का केंद्र था?|जैन धर्म|हिन्दू धर्म|बौद्ध धर्म|सिख धर्म|बौद्ध धर्म|Non-Hindi_C12|30
21|यह निबंध हमें किससे परिचित कराता है?|भारत की प्राचीन संस्कृति से|भारत के गौरवशाली अतीत से|प्राचीन शिक्षा केंद्रों से|उपरोक्त सभी से|उपरोक्त सभी से|Non-Hindi_C12|30
22|'पुरस्कार' का विलोम शब्द क्या है?|उपहार|भेंट|दंड|सम्मान|दंड|Non-Hindi_C12|30
23|पाठ के अनुसार, विक्रमशिला का अतीत कैसा था?|गौरवशाली|अंधकारमय|साधारण|विवादित|गौरवशाली|Non-Hindi_C12|30
24|राजा धर्मपाल किस वंश के राजा थे?|गुप्त वंश|मौर्य वंश|पाल वंश|चोल वंश|पाल वंश|Non-Hindi_C12|30
25|'अवशेष' का क्या अर्थ है?|संपूर्ण भाग|नया भाग|बचा हुआ अंश|मुख्य भाग|बचा हुआ अंश|Non-Hindi_C12|30
26|विक्रमशिला विश्वविद्यालय में लगभग कितने छात्र पढ़ते थे?|एक हजार|पाँच हजार|दस हजार|पंद्रह हजार|दस हजार|Non-Hindi_C12|30
27|विक्रमशिला के पाठ्यक्रम में क्या-क्या शामिल था?|तंत्र, तर्क, व्याकरण|सिर्फ वेद|सिर्फ पुराण|सिर्फ गणित|तंत्र, तर्क, व्याकरण|Non-Hindi_C12|30
