id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'मंगर' कहानी के लेखक कौन हैं?|प्रेमचंद|रामवृक्ष बेनीपुरी|महादेवी वर्मा|शिवपूजन सहाय|रामवृक्ष बेनीपुरी|Non-Hindi_C17|30
2|मंगर का शारीरिक गठन कैसा था?|दुबला-पतला|नाटा और मोटा|ऊँचा, गठीला और काला|गोरा और लंबा|ऊँचा, गठीला और काला|Non-Hindi_C17|30
3|मंगर पेशे से क्या था?|किसान|हलवाहा (मजदूर)|दुकानदार|शिक्षक|हलवाहा (मजदूर)|Non-Hindi_C17|30
4|लेखक ने मंगर को 'हलवाहों का सरताज' क्यों कहा है?|क्योंकि वह सबसे धनी था|क्योंकि वह काम में बहुत निपुण और मेहनती था|क्योंकि वह गाँव का मुखिया था|क्योंकि वह बहुत आलसी था|क्योंकि वह काम में बहुत निपुण और मेहनती था|Non-Hindi_C17|30
5|मंगर की पत्नी का क्या नाम था?|भकोलिया|सुगिया|बुधिया|झुनिया|भकोलिया|Non-Hindi_C17|30
6|भकोलिया का स्वभाव कैसा था?|शांत और सुशील|चंचल और बातूनी|कर्कशा और झगड़ालू|डरपोक और सहमी हुई|कर्कशा और झगड़ालू|Non-Hindi_C17|30
7|मंगर अपने मालिक (लेखक) को क्या कहकर बुलाता था?|सरकार|बाबूजी|मालिक|हुजूर|बाबूजी|Non-Hindi_C17|30
8|मंगर को किस चीज़ का शौक था?|गाना गाने का|अच्छा खाने और पहनने का|किताबें पढ़ने का|घूमने का|अच्छा खाने और पहनने का|Non-Hindi_C17|30
9|मंगर के चले जाने के बाद लेखक को कैसा हलवाहा मिला?|मंगर से भी अच्छा|कामचोर और बेईमान|बहुत मेहनती|चतुर और चालाक|कामचोर और बेईमान|Non-Hindi_C17|30
10|मंगर की सबसे बड़ी कमजोरी क्या थी?|उसका गुस्सा|उसका आलस्य|उसकी पत्नी भकोलिया|उसका लालच|उसकी पत्नी भकोलिया|Non-Hindi_C17|30
11|विवाह के बाद मंगर के जीवन में क्या बदलाव आया?|वह और खुश रहने लगा|उसका जीवन कलहपूर्ण हो गया|उसने काम छोड़ दिया|वह शहर चला गया|उसका जीवन कलहपूर्ण हो गया|Non-Hindi_C17|30
12|भकोलिया मंगर पर क्या आरोप लगाती थी?|कामचोरी का|दूसरे मर्दों से दोस्ती का|लेखक की पत्नी से अनुचित संबंध का|पैसे चुराने का|लेखक की पत्नी से अनुचित संबंध का|Non-Hindi_C17|30
13|इस कहानी में किस सामाजिक बुराई पर प्रहार किया गया है?|बाल विवाह|दहेज प्रथा|अंधविश्वास और चरित्र पर संदेह|जाति प्रथा|अंधविश्वास और चरित्र पर संदेह|Non-Hindi_C17|30
14|मंगर ने अंततः लेखक का घर क्यों छोड़ दिया?|उसे ज्यादा पैसे मिल रहे थे|पत्नी के कलह और आरोपों से तंग आकर|वह बीमार हो गया था|गाँव में महामारी फैल गई थी|पत्नी के कलह और आरोपों से तंग आकर|Non-Hindi_C17|30
15|'काला-कलूटा' होते हुए भी मंगर कैसा लगता था?|कुरूप|डरावना|सुंदर और आकर्षक|बीमार|सुंदर और आकर्षक|Non-Hindi_C17|30
16|मंगर को देखकर लेखक को किसकी याद आती थी?|यूनानी देवताओं की|एक पहलवान की|एक राजा की|एक साधु की|यूनानी देवताओं की|Non-Hindi_C17|30
17|मंगर का कुर्ता कैसा रहता था?|हमेशा साफ|हमेशा फटा हुआ|हमेशा पसीने से भीगा हुआ और मैला|रंगीन और चमकदार|हमेशा पसीने से भीगा हुआ और मैला|Non-Hindi_C17|30
18|'मंगर' कहानी किस शैली में लिखी गई है?|आत्मकथात्मक|वर्णनात्मक|रेखाचित्र|व्यंग्यात्मक|रेखाचित्र|Non-Hindi_C17|30
19|कहानी का मुख्य पात्र कौन है?|लेखक|मंगर|भकोलिया|लेखक की पत्नी|मंगर|Non-Hindi_C17|30
20|मंगर की मृत्यु कैसे हुई?|बीमारी से|दुर्घटना में|हैजे से|स्वाभाविक मृत्यु|हैजे से|Non-Hindi_C17|30
21|लेखक को मंगर की मृत्यु की सूचना कैसे मिली?|गाँव वालों से|भकोलिया से|एक पत्र द्वारा|दूसरे नौकर से|गाँव वालों से|Non-Hindi_C17|30
22|मंगर की मृत्यु के बाद भकोलिया की क्या दशा हुई?|उसने दूसरी शादी कर ली|वह पागल हो गई|वह बहुत रोई और फिर सामान्य हो गई|वह भी मर गई|वह भी मर गई|Non-Hindi_C17|30
23|यह कहानी समाज के किस वर्ग का प्रतिनिधित्व करती है?|पूंजीपति वर्ग|मध्यम वर्ग|शोषक वर्ग|मेहनतकश मजदूर वर्ग|मेहनतकश मजदूर वर्ग|Non-Hindi_C17|30
24|'अर्धनग्न' शब्द का क्या अर्थ है?|पूरी तरह से नग्न|आधा नंगा|अच्छे कपड़े पहने हुए|फटे कपड़े पहने हुए|आधा नंगा|Non-Hindi_C17|30
25|मंगर अपने काम को कैसे करता था?|बेमन से|पूरी लगन और कलात्मकता से|सिर्फ पैसे के लिए|दिखावे के लिए|पूरी लगन और कलात्मकता से|Non-Hindi_C17|30
26|मंगर के बिना लेखक के खेतों की क्या दशा हो गई?|और अच्छी हो गई|पहले जैसी ही रही|पैदावार कम हो गई और खेत बदसूरत हो गए|लेखक ने खेत बेच दिए|पैदावार कम हो गई और खेत बदसूरत हो गए|Non-Hindi_C17|30
27|भकोलिया के चरित्र की मुख्य विशेषता क्या है?|प्रेम और त्याग|ईर्ष्या और संदेह|सादगी और भोलापन|चतुराई और बुद्धिमानी|ईर्ष्या और संदेह|Non-Hindi_C17|30
28|'कलेजा दो टूक होना' मुहावरे का क्या अर्थ है?|बहुत खुश होना|बहुत गुस्सा होना|बहुत दुखी होना|डर जाना|बहुत दुखी होना|Non-Hindi_C17|30
29|मंगर की कहानी सुनकर लेखक का मन क्यों भर आया?|मंगर की दुखद मृत्यु के कारण|अपनी फसल खराब होने के कारण|भकोलिया के व्यवहार के कारण|गाँव की गरीबी के कारण|मंगर की दुखद मृत्यु के कारण|Non-Hindi_C17|30
30|इस कहानी का मुख्य भाव क्या है?|प्रेम और सौंदर्य|श्रमिकों का शोषण और उनकी नियति|ग्रामीण जीवन का सुख|ईर्ष्या का दुष्परिणाम|श्रमिकों का शोषण और उनकी नियति|Non-Hindi_C17|30
31|मंगर अपने शरीर पर क्या मलता था?|साबुन|चंदन|तेल|मिट्टी|तेल|Non-Hindi_C17|30
32|मंगर की देह का रंग कैसा था?|गेहुँआ|साँवला|काला|गोरा|काला|Non-Hindi_C17|30
33|लेखक ने मंगर के दाँतों की तुलना किससे की है?|मोती से|चाँदी से|बिजली से|दूध से|बिजली से|Non-Hindi_C17|30
34|भकोलिया मंगर को घर में घुसने क्यों नहीं दे रही थी?|क्योंकि वह शराब पीकर आया था|क्योंकि वह देर से आया था|उसे मंगर के चरित्र पर शक था|क्योंकि वह खाना नहीं लाया था|उसे मंगर के चरित्र पर शक था|Non-Hindi_C17|30
35|मंगर को किस बात का गुमान था?|अपनी दौलत पर|अपनी सुंदरता पर|अपने काम और अपनी ताकत पर|अपनी पत्नी पर|अपने काम और अपनी ताकत पर|Non-Hindi_C17|30
36|मंगर के बाद आए नौकरों में क्या कमी थी?|वे कामचोर थे|उनमें कला-प्रियता नहीं थी|वे बेईमान थे|उपरोक्त सभी|उपरोक्त सभी|Non-Hindi_C17|30
37|कहानी के अंत में कौन-सा रोग फैलता है?|प्लेग|चेचक|हैजा|मलेरिया|हैजा|Non-Hindi_C17|30
38|मंगर का चरित्र कैसा था?|जटिल|पाखंडी|सरल और स्वाभिमानी|चालाक|सरल और स्वाभिमानी|Non-Hindi_C17|30
39|'कलंक की गठरी' किसे कहा गया है?|चोरी के सामान को|झूठे आरोपों को|पाप को|कर्ज को|झूठे आरोपों को|Non-Hindi_C17|30
40|यह कहानी हमें क्या संदेश देती है?|मजदूरों का सम्मान करना चाहिए|किसी पर बेवजह शक नहीं करना चाहिए|मेहनत ही जीवन का सार है|उपरोक्त सभी|उपरोक्त सभी|Non-Hindi_C17|30
41|मंगर की दिनचर्या कहाँ से शुरू होती थी?|लेखक के घर से|अपने घर से|खेत से|मंदिर से|खेत से|Non-Hindi_C17|30
42|मंगर की आवाज कैसी थी?|पतली और मीठी|कर्कश|मोटी और दमदार|बहुत धीमी|मोटी और दमदार|Non-Hindi_C17|30
43|लेखक मंगर को क्या समझता था?|सिर्फ एक नौकर|अपने परिवार का सदस्य|एक कलाकार|एक साधारण मजदूर|अपने परिवार का सदस्य|Non-Hindi_C17|30
44|कहानी में ग्रामीण जीवन के किस पक्ष को दिखाया गया है?|सुख और समृद्धि|अशिक्षा, गरीबी और अंधविश्वास|आपसी भाईचारा|त्योहार और उत्सव|अशिक्षा, गरीबी और अंधविश्वास|Non-Hindi_C17|30
45|'सरताज' शब्द का क्या अर्थ है?|नौकर|राजा|सर्वश्रेष्ठ या सिरमौर|गुलाम|सर्वश्रेष्ठ या सिरमौर|Non-Hindi_C17|30
46|भकोलिया की मृत्यु कैसे हुई?|बीमारी से|मंगर के गम में|हैजे से|दुर्घटना में|हैजे से|Non-Hindi_C17|30
47|मंगर को खोने का पछतावा सबसे ज्यादा किसे हुआ?|भकोलिया को|लेखक को|गाँव वालों को|दूसरे नौकरों को|लेखक को|Non-Hindi_C17|30
48|यह कहानी किस प्रकार की कहानी है?|सुखांत|दुखांत|हास्यपूर्ण|प्रेरणादायक|दुखांत|Non-Hindi_C17|30
49|मंगर की कहानी हमें किसके प्रति संवेदनशील बनाती है?|जानवरों के प्रति|पर्यावरण के प्रति|मेहनतकश मजदूरों के प्रति|अमीर वर्ग के प्रति|मेहनतकश मजदूरों के प्रति|Non-Hindi_C17|30
50|रामवृक्ष बेनीपुरी किसलिए प्रसिद्ध हैं?|कवि के रूप में|नाटककार के रूप में|एक गद्य-शिल्पी और रेखाचित्र लेखक के रूप में|आलोचक के रूप में|एक गद्य-शिल्पी और रेखाचित्र लेखक के रूप में|Non-Hindi_C17|30
