id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'बच्चे की दुआ' कविता के रचयिता कौन हैं?|रवीन्द्रनाथ टैगोर|मुहम्मद इक़बाल|कबीर दास|गालिब|मुहम्मद इक़बाल|Non-Hindi_C8|30
2|बच्चा किससे अपनी रक्षा करने की दुआ माँग रहा है?|बुराई से|दोस्तों से|जानवरों से|अंधेरे से|बुराई से|Non-Hindi_C8|30
3|'लब पे आती है दुआ बनके तमन्ना मेरी' - यहाँ 'लब' का क्या अर्थ है?|आँख|दिल|होंठ|हाथ|होंठ|Non-Hindi_C8|30
4|बच्चा अपनी ज़िंदगी को किस तरह की बनाना चाहता है?|अमीर|शमा की सूरत|राजा की तरह|फकीर की तरह|शमा की सूरत|Non-Hindi_C8|30
5|'शमा' का क्या अर्थ है?|मोमबत्ती/दीपक|सूरज|चाँद|तारा|मोमबत्ती/दीपक|Non-Hindi_C8|30
6|कविता में 'अंधेरा' किसका प्रतीक है?|रात का|अज्ञानता और बुराई का|दुःख का|गरीबी का|अज्ञानता और बुराई का|Non-Hindi_C8|30
7|बच्चा दुनिया का अंधेरा कैसे दूर करना चाहता है?|अपने दम से|अपने ज्ञान और प्रकाश से|पैसे से|लड़ाई करके|अपने ज्ञान और प्रकाश से|Non-Hindi_C8|30
8|'ज़ीनत' शब्द का क्या अर्थ है?|खूबसूरती|ताकत|दौलत|इबादत|खूबसूरती|Non-Hindi_C8|30
9|बच्चा अपने वतन को किस चीज़ से सजाना चाहता है?|फूलों से|इमारतों से|अपने अच्छे कामों से|नदियों से|अपने अच्छे कामों से|Non-Hindi_C8|30
10|'हिफाज़त' का क्या अर्थ है?|रक्षा|हमला|प्यार|नफरत|रक्षा|Non-Hindi_C8|30
11|बच्चा किन लोगों की हिफाज़त करना चाहता है?|सिर्फ अमीरों की|सिर्फ अपने परिवार की|गरीबों और दर्द मंदों की|सिर्फ दोस्तों की|गरीबों और दर्द मंदों की|Non-Hindi_C8|30
12|'दर्दमंद' से क्या तात्पर्य है?|जिसके सिर में दर्द हो|जो बीमार हो|जो दुखी या पीड़ित हो|जो कमजोर हो|जो दुखी या पीड़ित हो|Non-Hindi_C8|30
13|'ज़ईफ़ों' का क्या अर्थ है?|जवान लोग|बच्चे|बूढ़े और कमजोर लोग|अमीर लोग|बूढ़े और कमजोर लोग|Non-Hindi_C8|30
14|यह कविता मूल रूप से क्या है?|एक लोकगीत|एक प्रार्थना गीत|एक देशप्रेम गीत|एक कहानी|एक प्रार्थना गीत|Non-Hindi_C8|30
15|बच्चा ईश्वर से क्या शक्ति माँग रहा है?|अमीर बनने की|राजा बनने की|बुराई से बचने और नेकी पर चलने की|सबको हराने की|बुराई से बचने और नेकी पर चलने की|Non-Hindi_C8|30
16|'नेकी' का विलोम शब्द क्या है?|बुराई|भलाई|सच्चाई|ईमानदारी|बुराई|Non-Hindi_C8|30
17|'खुदाया' शब्द किसके लिए प्रयोग हुआ है?|इंसान के लिए|शैतान के लिए|ईश्वर के लिए|राजा के लिए|ईश्वर के लिए|Non-Hindi_C8|30
