id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'दीदी की डायरी' पाठ की विधा क्या है?|कहानी|निबंध|कविता|डायरी|डायरी|Non-Hindi_C13|30
2|इस पाठ में डायरी कौन लिखती है?|नीलू|संजू|लेखक|माँ|संजू|Non-Hindi_C13|30
3|संजू किस कक्षा में पढ़ती है?|छठी|सातवीं|आठवीं|नौवीं|आठवीं|Non-Hindi_C13|30
4|डायरी लिखने की प्रेरणा संजू को किससे मिली?|पिताजी से|माँ से|गांधी साहित्य से|अपनी सहेली से|गांधी साहित्य से|Non-Hindi_C13|30
5|संजू की किस सहेली की शादी बचपन में ही कर दी गई?|शीला|मीना|नीलू|रीता|नीलू|Non-Hindi_C13|30
6|संजू स्वभाव से कैसी लड़की है?|क्रोधी|घमंडी|हँसमुख और संवेदनशील|स्वार्थी|हँसमुख और संवेदनशील|Non-Hindi_C13|30
7|संजू का क्या शौक था?|किताबें और चुटकुले पढ़ना|खेलना|गाना गाना|चित्र बनाना|किताबें और चुटकुले पढ़ना|Non-Hindi_C13|30
8|संजू ने अपनी डायरी में 3 जनवरी '97 को किस घटना का उल्लेख किया है?|पिकनिक का|जापान के एक बच्चे तोत्तो-चान का|जन्मदिन का|परीक्षा का|जापान के एक बच्चे तोत्तो-चान का|Non-Hindi_C13|30
9|'तोत्तो-चान' कौन थी?|एक भारतीय लड़की|एक जापानी लड़की|एक चीनी लड़की|एक अमेरिकी लड़की|एक जापानी लड़की|Non-Hindi_C13|30
10|संजू ने 4 जनवरी '97 को डायरी में क्या लिखा?|वह पिकनिक पर गई|वह बीमार थी|उसने एक फिल्म देखी|उसने अपनी माँ के साथ शर्त लगाई|वह पिकनिक पर गई|Non-Hindi_C13|30
11|पिकनिक मनाने के लिए सब कहाँ गए थे?|पहाड़ पर|नदी किनारे|बगीचे में|कबीर मठ|कबीर मठ|Non-Hindi_C13|30
12|संजू को अपनी माँ की कौन-सी बात अच्छी नहीं लगती?|उसका डाँटना|उसका ज्यादा प्यार करना|उसे हमेशा पढ़ने के लिए कहना|उसे बच्ची समझना|उसे बच्ची समझना|Non-Hindi_C13|30
13|संजू ने माँ से क्या शर्त लगाई?|रोज डायरी लिखने की|तीन दिन तक नहीं रोने की|परीक्षा में प्रथम आने की|घर का काम करने की|तीन दिन तक नहीं रोने की|Non-Hindi_C13|30
