id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'वैश्वीकरण' (Globalization) का क्या अर्थ है?|केवल आयात में वृद्धि|विभिन्न देशों के बीच तेजी से एकीकरण और अंतर्संबंध|केवल एक देश का दूसरे देश पर प्रभुत्व|केवल घरेलू उत्पादन|विभिन्न देशों के बीच तेजी से एकीकरण और अंतर्संबंध|Economics_C4|30
2|वैश्वीकरण का मुख्य कारण क्या है?|इंटरनेट का अभाव|सूचना और संचार प्रौद्योगिकी (ICT) और परिवहन में तेजी से सुधार|केवल राजनीतिक स्थिरता|उच्च टैरिफ (Tariffs)|सूचना और संचार प्रौद्योगिकी (ICT) और परिवहन में तेजी से सुधार|Economics_C4|30
3|'बहुराष्ट्रीय कंपनियाँ' (Multi-National Corporations - MNCs) क्या हैं?|केवल एक देश में उत्पादन करने वाली कंपनियाँ|वह कंपनियाँ जो एक से अधिक देशों में उत्पादन पर नियंत्रण या स्वामित्व रखती हैं|केवल सरकारी कंपनियाँ|केवल निर्यात करने वाली कंपनियाँ|वह कंपनियाँ जो एक से अधिक देशों में उत्पादन पर नियंत्रण या स्वामित्व रखती हैं|Economics_C4|30
4|MNCs द्वारा उत्पादन स्थापित करने का मुख्य उद्देश्य क्या होता है?|केवल रोजगार प्रदान करना|कच्चे माल की उपलब्धता और कम उत्पादन लागत|केवल सामाजिक कार्य|सरकार को नियंत्रित करना|कच्चे माल की उपलब्धता और कम उत्पादन लागत|Economics_C4|30
5|MNCs विभिन्न देशों में उत्पादन को आपस में कैसे जोड़ती हैं?|विदेशी निवेश, व्यापार और प्रौद्योगिकी हस्तांतरण द्वारा|केवल ऋण देकर|केवल एक ही देश में उत्पादन करके|राजनीतिक गठबंधन द्वारा|विदेशी निवेश, व्यापार और प्रौद्योगिकी हस्तांतरण द्वारा|Economics_C4|30
6|'विदेशी निवेश' (Foreign Investment) क्या है?|MNCs द्वारा किसी देश में संपत्ति (भूमि, मशीन) खरीदने में खर्च किया गया धन|केवल ऋण देना|किसी देश द्वारा निर्यात करना|केवल आयात करना|MNCs द्वारा किसी देश में संपत्ति (भूमि, मशीन) खरीदने में खर्च किया गया धन|Economics_C4|30
7|'विदेशी व्यापार' (Foreign Trade) का मुख्य उद्देश्य क्या है?|केवल प्रतिस्पर्धा बढ़ाना|विभिन्न देशों के बाजारों को जोड़ना|उत्पादन की लागत बढ़ाना|घरेलू उद्योगों को सुरक्षा देना|विभिन्न देशों के बाजारों को जोड़ना|Economics_C4|30
8|MNCs छोटे उत्पादकों को कैसे प्रभावित करती हैं?|उत्पादन के लिए ऑर्डर देकर और कभी-कभी उनके उत्पादों को खरीदकर|केवल उनका विरोध करके|उन्हें सब्सिडी देकर|केवल उन्हें नियंत्रित करके|उत्पादन के लिए ऑर्डर देकर और कभी-कभी उनके उत्पादों को खरीदकर|Economics_C4|30
9|भारत में वैश्वीकरण को संभव बनाने वाले कारक कौन-से हैं?|केवल आयात शुल्क|उदारीकरण (Liberalization) और प्रौद्योगिकी|केवल जनसंख्या वृद्धि|सरकारी नियंत्रण|उदारीकरण (Liberalization) और प्रौद्योगिकी|Economics_C4|30
10|'उदारीकरण' (Liberalization) का क्या अर्थ है?|आयात और निर्यात पर सरकारी प्रतिबंधों (Trade Barriers) को हटाना|आयात और निर्यात पर प्रतिबंध बढ़ाना|केवल घरेलू उद्योगों को बढ़ावा देना|केवल विदेशी निवेश पर प्रतिबंध लगाना|आयात और निर्यात पर सरकारी प्रतिबंधों (Trade Barriers) को हटाना|Economics_C4|30
